OMSI/SE Water Ave MAX Station,45.5084872,-122.6658475
SE Park Ave MAX Station,45.430734,-122.635065
NW 6th and Davis MAX Station,45.5243256,-122.6764273
SW 5th and Oak MAX Station,45.521573,-122.676178
PSU Urban Center/SW 5th and Mill MAX Station,45.51171189999999,-122.6815588
SW 6th and Madison St MAX Station,45.5155389,-122.6804701
SE Fuller Rd MAX Station,45.4535188,-122.573683
Clackamas Town Center TC MAX Station,45.4358424,-122.5678145
Civic Drive MAX Station,45.5081907,-122.4415814
Union Station/NW 5th and Glisan MAX Station,45.52683589999999,-122.6756532
Pioneer Courthouse/SW 6th MAX Station,45.5189101,-122.6786241
City Hall/SW 5th and Jefferson MAX Station,45.5149756,-122.6797341
